"Name","Target","first_year","last_year"
Thomas William Nunn,ESL,1851,1851
P O'Callaghan,ESL,1870,1871
George O'Gorman,ESL,1846,1852
Edward O'Riley,ESL,1860,1871
William Ogilby,ESL,1845,1850
Laurence Oliphant,ESL,1860,1868
Samuel Pasfield Oliver,ESL,1868,1869
Gustav Oppert,ESL,1869,1871
W  Billing Orton,ESL,1868,1871
Sherard Osborn,ESL,1867,1871
Charles Otto,ESL,1853,1871
Frederick Ouvry,ESL,1868,1871
John Downes Owens,ESL,1848,1848
Thomas Page,ESL,1844,1844
Arthur Paget,ESL,1861,1861
William Gifford Palgrave,ESL,1868,1871
Harry Parkes,ESL,1862,1871
Charles Pasley,ESL,1848,1860
Edmund Patterson,ESL,1860,1871
C H Pearson,ESL,1856,1862
Francisco E Pereira,ESL,1865,1871
Erskine Perry,ESL,1853,1854
George Michael Perry,ESL,1854,1856
Josef Anton Maximilian Perty,ESL,1860,1871
Horace William Petherick,ESL,1864,1871
William Vesalius Pettigrew,ESL,1852,1856
Arthur Phayre,ESL,1862,1871
Benjamin Phillips,ESL,1851,1853
Philip Phoebus,ESL,1861,1867
Edward Pick,ESL,1861,1864
Charles Pickering,ESL,1861,1871
Francois Jules Pictet,ESL,1860,1871
Jonathan S Pidgeon,ESL,1851,1851
John Platts,ESL,1869,1871
Reginald Stuart Poole,ESL,1866,1867
George H Pope,ESL,1868,1871
W H Pope,ESL,1865,1868
T Postans,ESL,1844,1844
Joseph Legg Postlethwaite,ESL,1844,1871
Thomas Prendergast,ESL,1863,1868
Joseph Prestwich,ESL,1869,1871
David S Price,ESL,1861,1871
Lorenzo T C Price,ESL,1868,1871
James Cowles Prichard,ESL,1844,1849
Alfred Pulford,ESL,1866,1871
Arthur Giles Puller,ESL,1864,1871
Robert Pulsford,ESL,1860,1860
Lambert Adolphe Jacques Quetelet,ESL,1853,1871
Charles Rafn,ESL,1853,1864
Henry Raikes,ESL,1855,1862
George Ramsay,ESL,1843,1843
George Dalhousie Ramsay,ESL,1862,1870
John Ramsay,ESL,1867,1871
H  Fowler Ransford,ESL,1862,1867
Charles Ratcliff,ESL,1861,1871
Henry Rawlinson,ESL,1853,1871
Richard Rayley,ESL,1845,1845
W H Read,ESL,1864,1869
Charles Reade,ESL,1864,1869
Richard Thompson Reep,ESL,1848,1855
Richard Reeve,ESL,1844,1850
Lestock Robert Reid,ESL,1861,1871
Ernest Renan,ESL,1861,1871
Anders Retzius,ESL,1854,1860
Francis Richardson,ESL,1863,1871
Joseph Rickerby,ESL,1844,1844
F W Ricketts,ESL,1858,1871
Jonathan Rigg,ESL,1845,1845
"x Ripon, De Grey and",ESL,1860,1871
Carl Ritter,ESL,1853,1859
John Henry Rivett-Carnac,ESL,1870,1871
Charles Robert des Ruffieres,ESL,1853,1871
A Roberts,ESL,1867,1867
Archibald Robertson,ESL,1866,1866
Thomas Valentine Robins,ESL,1866,1867
Edward Robinson,ESL,1852,1863
G A Robinson,ESL,1863,1871
George Augustus Robinson,ESL,1853,1866
Hamilton Roe,ESL,1843,1845
Charles Rogers,ESL,1845,1854
Frederick W Rogers,ESL,1847,1847
George Rogers,ESL,1867,1871
John Rogers,ESL,1847,1856
George Rolleston,ESL,1860,1871
James Rome,ESL,1861,1862
Hyacinthe Ronay,ESL,1865,1871
x Rosehill,ESL,1870,1871
John George Clunies Ross,ESL,1860,1871
x Roth,ESL,1855,1871
Richard Wellesley Rothman,ESL,1844,1856
R W Rowbotham,ESL,1843,1843
H R Rowcroft,ESL,1861,1862
Harry Crommelin Rowcroft,ESL,1861,1871
A H Russell,ESL,1860,1871
George Augustus Frederick Ruxton,ESL,1845,1848
Edward Ryan,ESL,1862,1871
Alfred Sadler,ESL,1867,1869
David Salomons,ESL,1860,1871
Alfred M Sanderson,ESL,1862,1866
W  Walbank Sanderson,ESL,1869,1871
Humfrey Sandwith,ESL,1861,1867
William Satter,ESL,1843,1844
William Devonshire Saull,ESL,1846,1855
Carl Ritter von Scherzer,ESL,1861,1871
Robert  Herman Schomburgk,ESL,1853,1865
Henry R Schoolcraft,ESL,1852,1852
Frederick Henry Scott,ESL,1862,1862
John (1) Scott,ESL,1866,1868
Robert Scott,ESL,1843,1846
Thomas Scott,ESL,1866,1871
John Scouler,ESL,1844,1871
E J Selwyn,ESL,1853,1862
Carl Semper,ESL,1870,1871
George Sexton,ESL,1853,1853
Henry Danby Seymour,ESL,1864,1867
W Sharp,ESL,1861,1862
Norton Shaw,ESL,1858,1868
William Wardrop Shaw,ESL,1864,1869
x Sheffield,ESL,1865,1871
Justin Shiel,ESL,1862,1869
John Joseph Shillinglaw,ESL,1843,1845
John Shortt,ESL,1862,1871
Charles Lionel Showers,ESL,1862,1871
James Kay Shuttleworth,ESL,1860,1869
P L Simmonds,ESL,1844,1844
James Simpson,ESL,1869,1871
William Henry Simpson,ESL,1867,1869
Joseph Sister,ESL,1844,1844
x Skardon,ESL,1844,1848
Thomas Peyton Slapp,ESL,1844,1844
Bath Charles Smart,ESL,1861,1871
J  Valentine Smedley,ESL,1868,1868
Andrew Smith,ESL,1844,1871
D  Pye Smith,ESL,1844,1844
Edward Osborne Smith,ESL,1861,1864
John Smith,ESL,1860,1871
Thomas James Smith,ESL,1869,1871
Thomas Southwood Smith,ESL,1845,1847
R  Brough Smyth,ESL,1862,1862
William Parker Snow,ESL,1861,1868
Samuel Reynolds Solly,ESL,1861,1866
William Somervell,ESL,1862,1871
Henry Southey,ESL,1850,1857
G W Spence,ESL,1861,1862
William Spence,ESL,1843,1855
William Henry Spencer,ESL,1863,1867
T  Trevethan Spicer,ESL,1844,1844
William Spottiswoode,ESL,1861,1871
Ephraim George Squier,ESL,1852,1871
George St Clair,ESL,1863,1871
Bayle St John,ESL,1844,1845
James Augustus St John,ESL,1844,1845
Percy B St John,ESL,1844,1847
Spencer St John,ESL,1862,1871
Edward St Maur,ESL,1861,1862
James Joseph Stainton,ESL,1854,1862
William Edward Stanbridge,ESL,1861,1871
H I Staples,ESL,1859,1867
Japetus Steenstrup,ESL,1864,1871
Carl (Karl) Steinhauer,ESL,1863,1871
William Frederick Cowell Stepney,ESL,1866,1871
N  Henry Stevens,ESL,1862,1871
Alexander Patrick Stewart,ESL,1844,1871
Charles Edward Stewart,ESL,1869,1871
x Strangford,ESL,1862,1869
Henry Stretton,ESL,1861,1862
John James Sturz,ESL,1844,1844
J P Sutherland,ESL,1854,1871
Edwin C Suttor,ESL,1843,1845
George Suttor,ESL,1844,1844
Richard Levinge Swift,ESL,1866,1871
Robert Swinhoe,ESL,1861,1871
J G Sylvester,ESL,1846,1846
J J Sylvester,ESL,1863,1863
Robert Tait,ESL,1854,1862
James Talbot de Malahide,ESL,1860,1871
James Tanner,ESL,1867,1871
x Tasmania,ESL,1861,1861
Richard Temple,ESL,1865,1871
John Tennant,ESL,1863,1871
James Emerson Tennent,ESL,1858,1862
Fred Thompson,ESL,1854,1855
Richard John Thompson,ESL,1844,1844
W Thompson (2),ESL,1866,1866
Christian JÃ¼rgensen Thomsen,ESL,1864,1865
John Thomson,ESL,1866,1871
L E Threlkeld,ESL,1854,1871
John Thrupp,ESL,1863,1870
Edward Thurlow,ESL,1863,1871
John Thurnam,ESL,1852,1870
Richard Hill Tiddeman,ESL,1870,1871
Samuel Timmins,ESL,1866,1871
x Tinsley,ESL,1851,1855
C D Tolme,ESL,1856,1858
James Tonnere,ESL,1844,1844
William Tooke,ESL,1844,1844
Nicolas Trubner,ESL,1857,1871
